row,col,type
7063,13876,5
7063,13908,5
7063,13946,5
7063,13955,5
7063,13983,5
7063,10001,5
7063,14097,5
7063,14162,5
7063,14259,5
7063,14282,5
7063,14419,5
7063,14443,5
7063,14463,5
7063,14501,5
7063,10422,5
7063,14532,5
7063,14680,5
7063,14759,5
7063,14777,5
7063,10648,5
7063,14789,5
7063,14911,5
7063,14933,5
7063,14956,5
7063,10894,5
7063,10900,5
7063,10953,5
7063,10970,5
7063,11082,5
7063,11140,5
7063,15187,5
7063,11169,5
7063,15212,5
7063,15213,5
7063,15214,5
7063,15251,5
7063,11318,5
7063,15378,5
7063,15385,5
7063,15545,5
7064,12021,5
7064,7728,5
7064,12083,5
7064,12084,5
7064,12085,5
7064,12087,5
7064,12413,5
7064,8298,5
7064,12514,5
7064,9476,5
7064,15077,5
11664,11665,5
11664,7065,5
11664,11815,5
11664,11816,5
11664,7468,5
11664,11817,5
11664,11818,5
11664,7935,5
11664,8106,5
11665,11815,5
11665,11816,5
11665,7468,5
11665,11817,5
11665,11818,5
11665,8106,5
7065,11815,5
7065,11816,5
7065,7468,5
7065,11817,5
7065,11818,5
7066,11667,5
7066,8972,5
7066,13218,5
7066,8973,5
7066,8975,5
7066,10517,5
7066,14658,5
7066,11467,5
11666,12943,5
11666,10517,5
11666,14658,5
11666,15536,5
11667,8973,5
11667,8975,5
11667,10517,5
11667,14658,5
11667,11467,5
11668,11713,5
11668,11762,5
11668,11846,5
11668,7591,5
11668,7834,5
11668,8396,5
11668,12686,5
11668,12749,5
11668,8605,5
11668,9521,5
11668,13773,5
11668,14016,5
11668,14506,5
11668,14532,5
11668,14842,5
11668,14845,5
11668,14846,5
11668,10900,5
11668,14977,5
11669,12738,5
11669,14846,5
7069,11771,5
7069,12917,5
7069,14101,5
7069,10163,5
7069,14405,5
7069,10571,5
7069,15084,5
7069,15402,5
7069,11438,5
11671,12017,5
11671,8605,5
11671,12900,5
11671,13414,5
11671,10625,5
11671,10627,5
11671,10798,5
11671,14933,5
7074,8221,5
7074,13473,5
7074,15138,5
7080,12125,5
7080,9427,5
7080,13474,5
7080,9864,5
7080,13984,5
7080,14287,5
7080,10279,5
7080,14414,5
7080,14505,5
7080,14532,5
7080,10625,5
7080,10798,5
7080,10879,5
7080,11439,5
7098,12332,5
7098,12446,5
7098,13030,5
7098,13203,5
7098,14463,5
7098,14890,5
7098,11337,5
7099,14161,5
7099,14647,5
11674,8221,5
7111,9444,5
7123,15273,5
11682,12402,5
11682,12888,5
11687,10786,5
11687,14901,5
11687,11362,5
11692,11706,5
11692,11729,5
11692,11820,5
11692,11821,5
11692,11896,5
11692,11908,5
11692,11986,5
11692,12008,5
11692,12009,5
11692,12010,5
11692,12073,5
11692,7804,5
11692,12113,5
11692,7808,5
11692,12156,5
11692,12370,5
11692,12405,5
11692,12540,5
11692,8328,5
11692,8396,5
11692,8422,5
11692,12739,5
11692,8547,5
11692,8684,5
11692,12850,5
11692,8685,5
11692,12888,5
11692,12900,5
11692,8749,5
11692,8751,5
11692,12990,5
11692,13002,5
11692,13029,5
11692,8926,5
11692,13096,5
11692,13098,5
11692,13262,5
11692,13313,5
11692,9141,5
11692,13443,5
11692,13548,5
11692,9558,5
11692,9581,5
11692,9733,5
11692,9755,5
11692,13875,5
11692,9849,5
11692,9876,5
11692,14063,5
11692,14064,5
11692,14096,5
11692,14132,5
11692,14285,5
11692,10219,5
11692,10223,5
11692,14347,5
11692,10310,5
11692,14404,5
11692,14437,5
11692,10382,5
11692,14498,5
11692,14499,5
11692,14501,5
11692,14506,5
11692,10455,5
11692,14598,5
11692,14599,5
11692,10506,5
11692,14738,5
11692,10749,5
11692,14933,5
11692,10901,5
11692,14982,5
11692,15167,5
11692,15223,5
11692,15273,5
11692,15335,5
11692,15376,5
11692,15384,5
11692,11370,5
11692,15391,5
11692,15447,5
7128,12353,5
7128,12541,5
7128,12660,5
